"Artist";"Album";"Song";"Label";"start";"end";"Year";"itunes";"deezer";"spotify"
"Ysee";"Tony Allen makes me high";"Tony Allen makes me high (feat. Tony Allen & Jimi Tenor)";"DEAL WITH MUSIC";1709339462;1709339653;2022;;;
"Eko Afrobeat";"Èkó Afrobeat";"Não tem como";"EKO AFROBEAT";1709339649;1709339872;2017;"https://music.apple.com/fr/album/n%C3%A3o-tem-como/1211010949?i=1211010967&uo=4";;"https://open.spotify.com/track/0Sx30RWAGwLo49gl32oTtI"
"Martinho Da Vila";"Brazil classics 2/O Samba/Compiled by David Byrne";"Sarau para Ramadés";"WARNER BROTHERS";1709339872;1709340006;1989;;;
"Marion Rampal";"Oizel";"Tampi mon âme";"LES RIVIERES SOUTERRAINES";1709340006;1709340168;2024;;;
"Patsy Cline";"Showcase with The Jordanaires";"South of the border (down Mexico way)";"STETSON";1709340161;1709340307;1961;;"https://www.deezer.com/track/602434072";"https://open.spotify.com/track/2l836nnklhKbnvZMKZ8BYD"
"Cornel Campbell";"Trojan Suedehead box set";"My confession";"TROJAN RECORDS";1709340302;1709340467;1972;;;
"The Marvelettes";"Forever more : the complete Motown albums / Vol.2";"Don't make hurting me a habit";"MOTOWN";1709340463;1709340640;1968;;"https://www.deezer.com/track/78102369";"https://open.spotify.com/track/47XpL6RIOhWWacCOyt4OqG"
"Eddie Roberts";"Roughneck";"Eazin' down";"DREYFUS";1709340640;1709340919;2004;;"https://www.deezer.com/track/7640783";
"Leon Thomas";"Blues and the soulful truth";"Boom-boom-boom";"RCAVICTOR";1709340918;1709341207;1972;;;"https://open.spotify.com/track/2qkaFDF6AmP61wv5qlryPP"
"Herman Dune";"Sweet thursday";"Joanna";"SANTA CRUZ RECORDS DIY";1709341203;1709341435;2018;;"https://www.deezer.com/track/480299132";"https://open.spotify.com/track/43zAg0P4XDEN0EYJ4gmWZs"
"Andrea Laszlo De Simone";"Bof / Le règne animal";"Petite moment";"UNIVERSAL MUSIC DIVISION VIRGIN MUSIC DISTRIBUTION DEAL";1709341468;1709341597;2023;;;
"Jon Lucien";"Rashida";"Kuenda";"RCA";1709341584;1709341769;1973;"https://music.apple.com/fr/album/kuenda/1261594373?i=1261594772&uo=4";"https://www.deezer.com/track/385672651";"https://open.spotify.com/track/2A6xCBTsDFDzd68M2iRAsX"
"Henri Salvador";"Chansons douces / Salvador s'amuse";"Le soleil, ton visage et la mer";"POLYGRAM";1709341766;1709341886;1969;;"https://www.deezer.com/track/103007612";
"Crosby Stills & Nash";"CSN";"Dark Star";"ATLANTIC";1709341885;1709342163;1977;;;
