"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Elliott Smith";"Xo";"Waltz #2 (XO)";1998;"DREAMWORKS RECORDS";1708009177;1708009453;"https://music.apple.com/fr/album/waltz-2-xo/1474991926?i=1474992066&uo=4";"https://open.spotify.com/track/5AMrnF761nziCWUfjBgRUI";"https://www.deezer.com/track/2532673"
"Misha Panfilov Sound Combo";"Days as echoes";"Moonscape waltz";2020;"FUNK NIGHT RECORDS";1708009450;1708009845;"https://music.apple.com/fr/album/moonscape-waltz/1529360285?i=1529360410&uo=4";;
"Autour De Lucie";"Immobile";"Chanson sans issue (ne vois-tu pas)";1997;"LE VILLAGE VERT";1708009834;1708010034;"https://music.apple.com/fr/album/chanson-sans-issue-ne-vois-tu-pas/576089308?i=576089363&uo=4";"https://open.spotify.com/track/78EpQqZg2pzqL0WE6B0EWO";
"Cotonete";"Victoire de la musique";"Day in Day Out (feat. Leron Thomas)";2024;"HEAVENLY SWEETNESS";1708010033;1708010293;;;
"Henri Debs Quintet";"Disques Debs International / Vol. 1";"Douce Kombass";1962;"STRUT RECORDS";1708010292;1708010489;;;
"Ana Tijoux";"Vida";"Milionaria";2024;"ALTAFONTE";1708010487;1708010702;;;
"Radiohead";"Amnesiac";"Dollars and cents";2001;"PARL";1708010701;1708010988;"https://music.apple.com/fr/album/dollars-and-cents/1581785974?i=1581786705&uo=4";"https://open.spotify.com/track/0kSDNLOdJqpGhV2vtVFWmS";
"Patti Smith";"Trampin'";"Cash";2004;"COLUMBIA";1708010983;1708011243;"https://music.apple.com/fr/album/cash/268632462?i=268632765&uo=4";"https://open.spotify.com/track/0KCc0bUc0a5nynTbCVbJva";
"Steve Reich (Compositeur)";"Different trains - electric counterpoint";"Electric counterpoint : Fast";1989;"Nonesuch";1708011238;1708011502;;;
"Anne Sylvestre";"Comment je m'appelle";"Les gens qui doutent";1977;"EPM RECORDS";1708011503;1708011675;;;"https://www.deezer.com/track/13312763"
"Miriam Makeba";"Miriam Makeba / The world of Miriam Makeba";"Mbube";1960;"COLLECTABLES";1708011673;1708012002;"https://music.apple.com/fr/album/mbube/473482066?i=473482145&uo=4";"https://open.spotify.com/track/5arMcy1mhCAPd3zGzx3uJJ";
