"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Snarky Puppy";"GroundUP";"Quarter master";2012;"MIG-MUSIC";1711280447;1711280961;"https://open.spotify.com/track/2zAGtTlxNoCKdhvdYfgCrU";"https://music.apple.com/fr/album/quarter-master/1105115559?i=1105116043&uo=4";
"Bobby Mcferrin";"The voice";"A-train";1984;"ELEKTRA";1711280955;1711281176;;"https://music.apple.com/fr/album/a-train/41228101?i=41228123&uo=4";
"Julian Lage";"Arclight";"Persian rug";2016;"MACK AVENUE";1711281176;1711281314;"https://open.spotify.com/track/3ZTLzhcQxcqbY53ZJXYjlB";"https://music.apple.com/fr/album/persian-rug/1073985673?i=1073985679&uo=4";
"Lee Konitz & Michel Petrucciani";"Toot sweet";"Lovelee";1982;"DECCA RECORDS";1711281312;1711281443;;"https://music.apple.com/fr/album/lovelee/1442801408?i=1442801650&uo=4";
"Pearl Bailey";"50 sublimes chanteuses de jazz 1940-1953";"Baby, it's cold outside";1949;"Body Soul (Body & Soul)";1711281438;1711281616;;;
"Iiro Rantala String Trio";"Anyone With a Heart";"A gift";2014;"ACT MUSIC & VISION";1711281616;1711282052;;;
"Bud Powell";"I'll keep on loving you";"Sonny side";1949;"PROPER RECORDS";1711282048;1711282189;;;
"Van Morrison";"Keep me singing";"Look beyond the hill";2016;"EXILE";1711282187;1711282332;"https://open.spotify.com/track/4UkIoYZjQkbZqk9t8bpM46";"https://music.apple.com/fr/album/look-beyond-the-hill/1440865474?i=1440865679&uo=4";
"Don Cherry";"Old and new dreams";"Chairman Mao";1977;"BLACK SAINT";1711282331;1711282785;"https://open.spotify.com/track/64rWxwQXZSYdZ45hv3j5Zw";;
"Kenny Barron";"Canta Brasil";"Thoughts and dreams";2002;"UNIVERSAL";1711282781;1711283043;;;
"Duke Ellington & His Orchestra";"A Drum is a Woman";"Ballet of the flying saucers";1957;"Columbia";1711283040;1711283318;;;
"Sons Of Kemet";"Black to the future";"Think of home";2021;"IMPULSE";1711283318;1711283526;"https://open.spotify.com/track/3pnNgeNlquxQLB5OdC3FJh";"https://music.apple.com/fr/album/think-of-home/1558301183?i=1558301378&uo=4";"https://www.deezer.com/track/1365963272"
"Les De Merle";"Transfusion";"Moondial";1978;"DOBRE RECORDS";1711283523;1711283722;;;
"Melody Gardot";"The absence";"If i tell you i love you";2012;"DECCA";1711283721;1711283933;"https://open.spotify.com/track/2PTIRzHNHlU9SfLiaE9Dft";"https://music.apple.com/fr/album/if-i-tell-you-i-love-you/1440742764?i=1440743145&uo=4";
"Stan Getz";"Jazz samba";"O pato";1962;"VERVE";1711283930;1711284079;"https://open.spotify.com/track/5PXIzyJURVKyO1cwVDuGEK";;"https://www.deezer.com/track/602453992"
"Myriam Alter";"Where is there";"Was it there";2007;"ENJA";1711284078;1711284350;"https://open.spotify.com/track/12S4tNsnCP2j1cnpZx3cCL";"https://music.apple.com/fr/album/was-it-there/266802468?i=266802502&uo=4";"https://www.deezer.com/track/60878999"
"Tadd Dameron";"The complete Blue Note and Capitol recordings of Fats Navarro and Tadd Dameron";"Casbah";1949;"BLUE NOTE";1711284347;1711284531;;;
"Michel Camilo";"On fire";"Hands & feet";1989;"EPIC";1711284524;1711284788;"https://open.spotify.com/track/5P8GcZ4HBl7JAflJUlYEHS";"https://music.apple.com/fr/album/hands-feet/158649036?i=158651588&uo=4";
"Thierry Maillard Trio";"Ballades";"Plus jamais pareil";2021;"NOMADMUSIC";1711284787;1711285014;;;
"Sarah Vaughan";"Sassy Swings the Tivoli / Live / cd 1";"Won't you come home bill bailey";1963;"EmArcy";1711285011;1711285196;;;
