"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"The Invisible Session";"The invisible session";"Heroes of Sponge Cake";2006;"SCHEMA";1705561859;1705562241;"https://music.apple.com/fr/album/heroes-of-sponge-cake/150491652?i=150492290&uo=4";"https://open.spotify.com/track/7zolXVC6bX2RLC0i1XgT2q";
"Earl Klugh";"Volume one";"Bewitched";1991;"WEA";1705562238;1705562477;;;
"Avishai Cohen Trio";"From darkness";"Ballad For An Unborn";2015;"RazDaz";1705562476;1705562929;;;
"Arthur Prysock";"Morning, noon, & night the collection";"Woke up this morning";1955;"VERVE";1705562929;1705563103;;;"https://www.deezer.com/track/4241121"
"Chip Wickham";"Blue to red";"Route one";2020;"LOVEMONK";1705563101;1705563516;"https://music.apple.com/fr/album/route-one/1506633034?i=1506633344&uo=4";"https://open.spotify.com/track/0nY9DcfG0Jffrg6r2apqJf";
"Tony Williams";"Foreign intrigue";"Sister Cheryl";1985;"BLUE NOTE";1705563513;1705563931;"https://music.apple.com/fr/album/sister-cheryl/1443478556?i=1443478701&uo=4";"https://open.spotify.com/track/0jV2wU27f04zo8eP1tuaQY";
"Sarah Lancman";"A contretemps";"Don't lose me";2017;"JAZZ ELEVEN";1705563928;1705564134;;;
"Plas Johnson";"Jazz, lindy hop, boogie / Années 40-50";"Too close for comfort";1959;"FREMEAUX ET ASSOCIES";1705564132;1705564317;"https://music.apple.com/fr/album/too-close-for-comfort/773870333?i=773870540&uo=4";;
"Tomasz Stanko";"Soul of things";"Soul of Things 03";2002;"ECM";1705564316;1705564575;;;
"Tom Waits";"Asylum years";"The heart of saturday night";1974;"ELEKTRA";1705564566;1705564799;;;
"Karl Berger";"Heart is a Melody";"Ganesh";2022;"Stunt";1705564800;1705565294;;"https://open.spotify.com/track/0fzWIwccx9sTChLTMXt2mG";
"Terri Lyne Carrington";"New Standards / Vol. 1";"Circling";2022;"Candid";1705565291;1705565649;;"https://open.spotify.com/track/3JfEAQCzK3IjvhdwECQEs8";
"Oscar Peterson";"Motions and emotions";"Sally's Tomato";1969;"MPS";1705565645;1705565836;;;
"Julie London";"All through the night/Julie London sings the choicest of Cole Porter";"At long last love";1956;"JASMINE J";1705565831;1705566035;;;
"Kyle Eastwood";"In transit";"Boogie stop shuffle";2017;"JAZZ VILLAGE";1705566035;1705566483;"https://music.apple.com/fr/album/boogie-stop-shuffle/1271126616?i=1271126850&uo=4";"https://open.spotify.com/track/6kovZ6bGgtVoZkVDVdSelt";
"Jazzrausch Bigband";"Alle jahre wieder!";"Alle jahre wieder";2022;"Act Music";1705566480;1705566902;;"https://open.spotify.com/track/6uVxao9s4gtib7xPHkdcAc";
"Sammy Davis Jr.";"Sammy Davis Junior : Sammy and friends";"Sam's song";1962;"RHINO";1705566901;1705567065;;;"https://www.deezer.com/track/75722098"
"Pierre Guicquero Quartet";"Just in time";"Stranger in paradise";2023;"CAMILLE PRODUCTIONS";1705567057;1705567355;;;
"Carla Cook";"Dem bones";"Dem bones";2001;"NEXT MUSIC";1705567355;1705567766;;"https://open.spotify.com/track/0urNaTjnFBBLzU6tH63WDx";
"Eric Seva";"Body and blues";"If you go";2017;"AUTO PRODUCTION";1705567760;1705567962;;"https://open.spotify.com/track/5u3iYMbHMkWaVUshQPnpwj";
"Serge Merlaud Trio";"Nur";"Little dance";2022;"BLACK & BLUE";1705567960;1705568352;;;
"Lou Donaldson";"Light-Foot";"Hog maw";1959;"Blue Note";1705568352;1705568731;"https://music.apple.com/fr/album/hog-maw/1442912741?i=1442912756&uo=4";"https://open.spotify.com/track/01thTnhmHoaLk7AgQ7BO26";
"Gregory Porter";"Be good";"God Bless The Child";2012;"MOTEMA MUSIC";1705568728;1705568941;"https://music.apple.com/fr/album/god-bless-the-child/1296601129?i=1296601474&uo=4";"https://open.spotify.com/track/1oDINQv2kWxK4X7QDyOKpq";"https://www.deezer.com/track/418141692"
"Omar Sosa & Tigana Santana";"Iroko";"Y Loves";2023;"SELO SESC [DIST. TRATORE]";1705568935;1705569171;;;
"Aaron Goldberg";"At the edge of the world";"Poinciana";2018;"SUNNYSIDE";1705569158;1705569500;"https://music.apple.com/fr/album/poinciana/1437570153?i=1437570155&uo=4";"https://open.spotify.com/track/41yKDBimCZAZiJN6u5YK2L";
"Ahmad Jamal";"Tranquility";"I say a little prayer";1968;"ABC";1705569499;1705569644;;"https://open.spotify.com/track/25OrOQfcpR05LNjGLVjMg1";
"Aretha Franklin";"Aretha with the Ray Bryant Combo";"Won't be long";1961;"SOUL JAM RECORDS";1705569644;1705569830;"https://music.apple.com/fr/album/wont-be-long-as-heard-in-the-netflix-series-the/425848796?i=425848871&uo=4";;"https://www.deezer.com/track/1437676902"
"Charlie Hunter Quintet";"Right now move";"Whoop-ass";2003;"RYKO";1705569829;1705570092;;;
