"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Julian & Roman Wasserfuhr";"Running";"Behind blue eyes";2013;"ACT MUSIC";1711722004;1711722410;"https://music.apple.com/fr/album/behind-blue-eyes/673410580?i=673410877&uo=4";"https://www.deezer.com/track/69093978";"https://open.spotify.com/track/2elPJufvCvQV5y3pILRZvL"
"Ramsey Lewis";"Golden hits";"Slipping into darkness";1972;"Columbia";1711722407;1711722776;;"https://www.deezer.com/track/457782672";
"Dee Dee Bridgewater";"Red earth / A malian journey";"Compared to what";2007;"UNIVERSAL";1711722776;1711723094;;;
"Willie Bobo";"Do that thing/Guajira";"Grab your hat";1963;"VAMPISOUL";1711723093;1711723246;"https://music.apple.com/fr/album/grab-your-hat/1183535395?i=1183535699&uo=4";"https://www.deezer.com/track/138454207";"https://open.spotify.com/track/68ruOETj1OcHQrUscYabVR"
"Snarky Puppy";"GroundUP";"Quarter master";2012;"MIG-MUSIC";1711723244;1711723759;"https://music.apple.com/fr/album/quarter-master/1105115559?i=1105116043&uo=4";;"https://open.spotify.com/track/2zAGtTlxNoCKdhvdYfgCrU"
"Bobby Mcferrin";"The voice";"A-train";1984;"ELEKTRA";1711723753;1711723974;"https://music.apple.com/fr/album/a-train/41228101?i=41228123&uo=4";;
"Julian Lage";"Arclight";"Persian rug";2016;"MACK AVENUE";1711723973;1711724112;"https://music.apple.com/fr/album/persian-rug/1073985673?i=1073985679&uo=4";;"https://open.spotify.com/track/3ZTLzhcQxcqbY53ZJXYjlB"
"Lee Konitz & Michel Petrucciani";"Toot sweet";"Lovelee";1982;"DECCA RECORDS";1711724110;1711724236;"https://music.apple.com/fr/album/lovelee/1442801408?i=1442801650&uo=4";;
"Pearl Bailey";"50 sublimes chanteuses de jazz 1940-1953";"Baby, it's cold outside";1949;"Body Soul (Body & Soul)";1711724236;1711724413;;;
"Iiro Rantala String Trio";"Anyone With a Heart";"A gift";2014;"ACT MUSIC & VISION";1711724414;1711724850;;;
"Bud Powell";"I'll keep on loving you";"Sonny side";1949;"PROPER RECORDS";1711724845;1711724987;;;
